gender,season,hand,year,college,US.Int,MN,MN.fair,campus ,shower,movies,hair,charities,Swiftie ,exercise,courses,TikTok,procrastinate,sleep,sleep.weekend,HS.GPA,college.GPA, tattoos,traffic.tickets ,text.drive,dom.foot,non.dom.foot,num.heads,num.candies
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,No,Evening,1,175,50,I am not sure,1,3,0,0,7,8,4,3.2,0,0,No,50,45,4,30
Female,Fall,Right,Sophomore,Other,U.S.,Yes,No,No,Morning,3,0,0,Yes,1,4,1,1,6,9,3.7,2.3,0,0,No,60,60,2,22
Male,Summer,Right,Junior,College of Liberal Arts (CLA),U.S.,No,Yes,No,Depends,8,50,20,No,2,3,2,4,8,8,3.1,3.2,0,0,No,158,126,6,82
Female,Fall,Right,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Yes,Depends,7,60,0,No,2,2,4,2,8,6,3.914,NA,0,0,No,315,0,6,42
Male,Summer,Right,Junior,College of Liberal Arts (CLA),U.S.,Yes,Yes,No,Morning,8,60,0,No,4,5,0,0,10,12,3.6,NA,11,0,Yes,156,39,5,37
Female,Spring,Right,Junior,College of Liberal Arts (CLA),U.S.,Yes,Yes,Yes,Morning,4,0,0,No,1,2,0,1,8,8,4,3.5,1,4,Yes,60,60,3,57
Male,Fall,Right,Junior,College of Biological Sciences (CBS),U.S.,Yes,Yes,No,Depends,0,40,0,No,2,5,2,0,7,8,4,3.8,0,0,No,56,34,6,59
Female,Summer,Right,Senior,College of Liberal Arts (CLA),U.S.,No,No,Yes,Evening,2,50,0,Yes,0.5,7,2,3,6,8,3.98,3,4,0,Yes,60,40,6,121
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Prefer not to answer,Depends,3,0,0,No,2,4,2,1,7,8,3.98,3.65,1,1,No,167,109,6,60
Male,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,No,Yes,Morning,2,60,0,No,1,2,3,2,7,8,3.6,NA,0,0,Yes,30,20,6,38
